conversation_id_str;full_text;username
1,8519E+18;Kejutan apa yang kalian inginkan di Anniv 13 nanti? Sender: Shooting MV Sukinanda di Lapangan Istana Garuda IKN Setlist Original Seifuku Sukinanda di desain ada unsur batiknya;vvotanet
1,84969E+18;"Presiden Prabowo Subianto segera meresmikan bangunan Istana Garuda di Ibu Kota Nusantara (IKN) Kalimantan Timur. Bangunan gedung kantor presiden ini menjadi salah satu ikon di IKN dengan bentuk desain burung garuda raksasa.⁣ ⁣ &gt;&gt; https://t.co/mYxgeq8l9r #detikfinance https://t.co/TKUuG1zCJS";detikfinance
1,84944E+18;Presiden Prabowo Subianto akan segera meresmikan bangunan Istana Garuda di Ibu Kota Nusantara (IKN) Kalimantan Timur. Bangunan gedung kantor presiden ini menjadi salah satu ikon di IKN dengan bentuk desain burung garuda raksasa. #presidenprabowo #prabowosubianto https://t.co/4JyFUaQYFC;dekade_08
1,84209E+18;Dalam rangka merayakan HUT ke-79 TNI Markas Besar TNI menampilkan desain panggung berbentuk Istana Negara di IKN berwujud seperti lambang Pancasila burung Garuda. Baca selengkapnya hanya di https://t.co/4DMvgpP9W9 Sumber Gambar : ANTARA/Genta Tenri Mawangi #fyp #beritaterkini https://t.co/Zs0A2Sq6KK;semenitid
1,8418E+18;Markas Besar TNI menampilkan desain panggung berbentuk Istana Negara di IKN yang wujudnya seperti lambang Pancasila burung Garuda. #HutTNI #TNI https://t.co/831RSFYUam;antaranews
1,84177E+18;Desain Panggung Parade HUT ke-79 TNI Berbentuk Istana Garuda IKN Ini Alasannya https://t.co/DFFsAYGqdF #TempoNasional;tempodotco
1,83843E+18;Luar Biasa! Desain Interior Istana Garuda IKN Karya Anak Bangsa jawa barat kuasa gelap fedi nuril persib no biden state of play selamat hari tani nasional arsenal #MiskinkanBandarNarkoba https://t.co/rAKJC0Ai4V;RajaHadian
1,83811E+18;Luar Biasa! Desain Interior Istana Garuda IKN Karya Anak Bangsa. Sekretaris Cellos Putusin Sobek Kali Bekasi https://t.co/47VyLfuHag;SharaAcbar
1,83766E+18;Desain Istana Garuda IKN Terinspirasi Penyatuan 1.300 Suku Indonesia Speed L yogyakarta big L minggir lu miskin malming papua iphone 15 minggu #HMSTR https://t.co/eT2xdwwdEv;RajaHadian
1,83334E+18;Patung Garuda yang megah di Istana Garuda IKN kini mengalami perubahan warna yang signifikan. Setelah awalnya tampak berwarna gelap kemerah-merahan patung ini kini mulai menunjukkan warna hijau yang sesuai dengan desain awalnya. Yuk Baca Beritanya https://t.co/ovqyZxbxmn;ExposeKaltim
1,82983E+18;Bongkar aja Cek Fakta: Desain Istana Garuda IKN saat Ini Ternyata Bukan Desain Awal sudah Diubah karena Alasan Ketinggalan Zaman https://t.co/05wjKYPjM8;Bons631
1,82977E+18;Menurut saya ini bkn melulu kehendak Pak Jokowi semata.. IKN dicetuskan ktk pas menang Pilpres 2019.. melihat desain dan arsitek dr istana negara saya curiga bhw ada andil besar dr Ibu Mega trhdp ide bentuk istana garuda.. pd wkt itu pengaruh beliau dlm pmrntahan Pak Jkw besar ;Masdjodi1
1,82882E+18;Bukan Istana Garuda Karya Nyoman Nuarta Inilah Juara 1 Sayembara Desain IKN yang Tak Dipakai Jokowi karena.... https://t.co/tU42vnUefq;i_sujari31350
1,8286E+18;Bukan Istana Garuda Karya Nyoman Nuarta Inilah Juara 1 Sayembara Desain IKN yang Tak Dipakai Jokowi karena.... https://t.co/NJhX1kAId9;m_amamy
1,82482E+18;Istana Ketersesatan Negara......tempat kumpul para penyamun negeri.....Sempat Dicibir Tak Sesuai Ekspektasi Ternyata Ini 3 Perbedaan Istana Garuda IKN dengan Desain Awal Karya I Nyoman Nuarta https://t.co/DNUdijEApA;agungtriat53466
1,82477E+18;Jika Konsep Desain Istana Kepresidenan IKN Ikonik Burung Garuda -Dibuat Oleh AI #burunggarudaAI #patunggarudaAI #desain #gedung #IKNKotaModern https://t.co/6HZwkvjpaZ;Jahidinjakarta
1,82476E+18;Usulan terbuka 1.Ayo bangun IKN dg kedepankan nuansa lokal cth pilar Istana Garuda dipakai nuansa Papua sampe Aceh 2.Gedung2 K/L dibangun dg desain rmh adat se Indonesia misal Kemkeu-Papua Kemdagri-Riau KKP-Maluku Priwisata-Bali Kemhut-Kalbar dstnya @jokowi @prabowo @gibran_tweet;pace_M_
1,8247E+18;Gw nggak kenal beliau. Yg jelas beliau seniman yang sudah melalui verifikasi detail dari Mega IKN minimal. Hormatilah karyanya... Desain Istana Garuda IKN oleh Nyoman Nuarta Tuai Kritik IAI: Masyarakat Tidak Boleh Disesatkan.. https://t.co/zEATIrKNr1;pandamanda1299
1,82468E+18;Menggunakan burung Garuda sebagai desain yang ikonik Istana Garuda disebut-sebut akan menjadi kebanggaan masyarakat Indonesia di ibu kota baru Ibu Kota Nusantara (IKN). https://t.co/7qY74zmTNT;Faktacom_
1,82468E+18;Nyoman Nuarta bilang konsep Istana Garuda IKN murni dari pemikirannya sendiri. Lalu apa gunanya sayembara dg biaya milyaran! Kembalikan biaya dan hadiah sayembara desain istana IKN ke KAS NEGARA! @KemenPU @KemenkeuRI @jokowi @DPR_RI @prabowo @kompascom @KPK_RI https://t.co/R9uiFVVUyw;ganjaransejati
1,82466E+18;Penampakkan Background Istana Negara IKN burung garuda dr dekat. Tetap suram dan kurang gagah warnanya gelap mengapa tidak di desain dgn warna bendera kepala tegak dan pelatuk nya agak sedikit keatas nampak baik mengepakkan sayap lebarnya menguasai dunia https://t.co/vTfr0ByeD5;ENS53311139
1,82332E+18;@setkabgoid @jokowi @Kiyai_MarufAmin Usulan terbuka 1.Berharap IKN dibangun dg kedepankan nuansa lokal cth pilar Istana Garuda dipakai nuansa Papua sampe Aceh 2.Gedung2 K/L dibangun dg desain rmh adat se Indonesia cth Kemkeu-Papua Kemdagri-Riau KKP-Maluku Pariwisata-Bali dstnya;pace_M_
1,82285E+18;@CNNIndonesia @jokowi Usulan terbuka 1.Berharap IKN dibangun dg kedepankan nuansa lokal cth pilar Istana Garuda dipakai nuansa Papua sampe Aceh 2.Gedung2 K/L dibangun dg desain rmh adat se Indonesia cth Kemkeu-Papua Kemdagri-Riau KKP-Maluku Pariwisata-Bali dstnya;pace_M_
1,82264E+18;@HusinShihab Usulan terbuka 1.Berharap IKN dibangun dg kedepankan nuansa lokal cth pilar Istana Garuda dipakai nuansa Papua sampe Aceh 2.Gedung2 K/L dibangun dg desain rmh adat se Indonesia cth Kemkeu-Papua Kemdagri-Riau KKP-Maluku Pariwisata-Bali dstnya;pace_M_
1,8246E+18;Istana Kaum Tersesat....Respons Nyoman Nuarta soal Asosiasi yang Menolak Desain Istana Garuda IKN: Bisa Gak Dia Bikin? https://t.co/TZIEWNyrIE;agungtriat53466
1,82443E+18;Istana Korupsi Kolusi dan Nepotisme.....sarang para penyamun negeri....Puji Desain Istana Garuda IKN JG: Beda dengan yang Lain https://t.co/sinPG3Um9s;agungtriat53466
1,82441E+18;Dibalik desain patung Garuda IKN yang dikritik tidak sesuai ternyata saat malam hari patung tersebut sangat mewah dan indah. Patung Istana Garuda raksasa yang ada di IKN tersebut akan menjadi latar dari upacara HUT ke-79 RI pada 17 Agustus 2024. #BournePost #TheBournePost https://t.co/TenB2M4mgI;thebournepost
1,82435E+18;Desain Istana Garuda IKN Oleh Nyoman Nuarta Tuai Kritik IAI: Masyarakat Tidak Boleh Disesatkan! https://t.co/N0NropM9GU;democrazymedia
1,82426E+18;IAI Jelaskan Kriteria Seseorang Bisa Disebut Arsitek Nyoman Nuarta Masuk Kategori? IAI menjelaskan definisi arsitek mengikuti ramainya pro dan kontra terhadap desain Istana Garuda IKN yang dirancang oleh I Nyoman Nuarta. https://t.co/pCqz5fvA5G;drafdigital
1,82424E+18;Terpopuler: IAI Tanggapi Kritik soal Desain Istana Garuda IKN Kronologi Anggota Paskibraka Dilarang Berjilbab. Berita terpopuler bisnis pada Kamis 15 Agustus 2024 dimulai dari tanggapan IAI soal ramai kritik atas desain Istana Garuda di IKN. https://t.co/Etj3dNBxVE;drafdigital
1,82423E+18;Terpopuler: IAI Tanggapi Kritik soal Desain Istana Garuda IKN Kronologi Anggota Paskibraka Dilarang Berjilbab https://t.co/L3MjelBiII #TempoBisnis;tempodotco
1,82408E+18;"Nyoman_nuarta; Kantor Staf Presiden; Desain atau perancang Istana Garuda Ibu Kota Nusantara (IKN) @Nyoman_nuarta mengucapkan bahwa Istana Itu Harus Menjadi Milik Bersama. #Nusantara#KSP https://t.co/gfakOOrPvP";RitaRit93157572
1,82408E+18;Masih g percaya kalo beda konsepnya... Perbedaan Istana Garuda IKN dengan Desain Awal Nyoman Nuarta https://t.co/gZ7kouDCm2;Taufiq_K
1,82404E+18;Desain Istana Garuda IKN oleh Nyoman Nuarta Tuai Kritik IAI: Masyarakat Tidak Boleh Disesatkan.. https://t.co/LaOAT8NeQ8 #TempoBisnis;tempodotco
1,82399E+18;Mengenal Lebih Dekat Desain Istana Garuda di IKN dengan 13 Bangunan Utama BACA SELENGKAPNYA DISINI ⬇️⬇️⬇️ https://t.co/YaZt9WoWPp;telisik_id
1,82392E+18;Pengalihan isu dari ramenya patung garuda yang mirip kelelawar dan desain interior ruang istana IKN yang NG (not good) karena ngejer target. Ga ada artis yang pake narkoba lagi ya?;CalonUserHRGA
1,82391E+18;Tahukah Kamu Desain Awal Istana Garuda di IKN Itu Warnanya Hijau https://t.co/apxNR38FWF;detikTravel
1,82371E+18;Habiskan Uang Negara Rp2 Triliun Roy Suryo Kritik Habis-habisan Istana Garuda IKN : Boros Desain Aneh dan Filosofi Melenceng! https://t.co/wvrulfWyUj;nusahitscom
1,82369E+18;Menkominfo Budi Arie sebut Istana Garuda selaraskan seni sains dan teknologi. Desain dan karya arsitektur Istana Garuda di IKN tentu menjadi salah satu kebanggaan nasional. StopJudol Cut Intan KDRT https://t.co/gfNEEqDBVV;Boyzneboyzone
1,82367E+18;Istana Kolusi dan Nepotisme...Perbedaan Istana Garuda IKN dengan Desain Awal Nyoman Nuarta https://t.co/vQQh6mmTjd;agungtriat53466
1,82365E+18;Desain Istana Garuda Picu Polemik I Nyoman Nuarta Beberkan Makna di Baliknya: Desain Istana Garuda Ibu Kota Nusantara (IKN) menuai banyak kritik di media sosial. Simbol Garuda yang dipilih lebih mirip dengan kelelawar karena berwarna coklat gelap yang https://t.co/RyrSuSNAjx;tvOneNews
1,82364E+18;Animasi desain panggung ala Istana Garuda IKN di alun-alun Banjarnegara. https://t.co/IOKcdw2lvp;Afif_f
1,8236E+18;Sempat Disebut Mirip Kerajaan Siluman Kelelawar Ternyata Ini Makna Desain Istana Garuda IKN https://t.co/xpmo69Aujs #Bisnis;liputan6dotcom
1,82356E+18;iya-iya desain IKN tuh memang menakjubkan mata. tetapi sekali lagi jika si desain Garuda pada istana negara itu tidak mempunyai fungsi ruang sungguh buang buang uang.;agwinDputranto
1,82044E+18;@bachrum_achmadi Baca alasan sang arsitek Nyoman Nuarta memilih desain Garuda untuk istana Garuda IKN https://t.co/MQ0Onu8vsU;Snivlamo
1,82209E+18;@ethadisaputra New h alasan Nyoman Nuarta sang arsitek memilih desain Garuda untuk istana Garuda IKN https://t.co/MQ0Onu8vsU;Snivlamo
1,82262E+18;@mpujayaprema Ini alasan Nyoman Nuarta memilih desain Garuda untuk istana Garuda IKN https://t.co/MQ0Onu8vsU;Snivlamo
1,82153E+18;@zy_zy_lestary @jokowi @adri_7i @Pasir_Putih99 @YoYoAyo17845 @IrwanResma48922 @Rocky_Antonie Nih alasan sang arsitek Nyoman Nuarta memilih desain Garuda untuk istana Garuda IKN https://t.co/MQ0Onu8vsU;Snivlamo
1,82254E+18;@democrazymedia Alasan sang arsitek Nyoman Nuarta memilih desain Garuda di istana Garuda IKN https://t.co/MQ0Onu8vsU;Snivlamo
1,82244E+18;@tempodotco Baca juga nih alasan sang arsitek Nyoman Nuarta memilih desain Garuda untuk istana Garuda IKN https://t.co/MQ0Onu8vsU;Snivlamo
1,82254E+18;@Catatan_ali7 Alasan sang Arsitek Nyoman Nuarta pilih desain Garuda di istana Garuda IKN https://t.co/MQ0Onu8vsU;Snivlamo
1,82281E+18;@MichelAdam7__ Alasan Nyoman Nuarta pilih desain Garuda untuk istana Garuda IKN https://t.co/MQ0Onu8vsU;Snivlamo
1,82349E+18;I Gusti Agung Rai Wirawijaya Sebut Desain Istana Garuda IKN Mirip seperti di Film Drakula https://t.co/03u2xX6jON #pdiperjuangan;GesuriID
1,82338E+18;Tadinya gua punya opini yang lumayan oposisi terkait patung garuda di istana ikn. Tapi setelah tau itu warnanya gelap gegara pake perunggu jadi opini saya jadi lebih baik. Itu di desain biar kaya patung liberty puluhan tahun kemudian jadi biru ntar gegara oksidasi;Ferdians_syah
1,82337E+18;jadi balik lagi ke desain kawasan IKN semua simbol² persatuan atau yg menyatukan bangsa telah diserap oleh pemenang sayembara . Sehingga pada desain bangunan Istana Negara kurang elok kalo hanya mengambil simbol dari satu daerah/pulau/etnis karena itu dipilihlah Garuda.;berbachti
1,82336E+18;Nyoman Nuarta: Mereka Sangka Segala Macam Saya yang Kerjakan. Desainer atau perancang Istana Garuda di IKN Kaltim Nyoman Nuarta mengungkapkan Desain ISTANA melibatkan 44 ahli demi menciptakan Aspek Keamanan dan Ketahanan Bangunan. https://t.co/lm7RgNvqAW @beritasatu https://t.co/tdBfHpR7YX;chirp_sitto
1,82328E+18;Ketua Umum AMI Apresiasi Desain Istana Garuda IKN https://t.co/flZPfRGadQ #InvestorDaily #investasi #Saham;InvestorID
1,82324E+18;Menkominfo Budi Arie Setiadi menegaskan desain dan karya arsitektur istana garuda di IKN menjadi kebanggaan nasional Audrey Nahan Gempa Kenceng Dingin BMKG Waduh Pati Kerasa Airlangga Garuda Manggarai 仙台育英 智弁和歌山 #giants #sbhawks #seibulions #lovefighters #chibalotte https://t.co/2zJxxRUZi5;AdisanyotoDini
1,82324E+18;Istana Garuda Ibu Kota Nusantara (IKN) memiliki desain yang khas di mana terdapat rangka yang membentuk sebuah sayap yang lebar dan berlapis. #IKN #IstanaGaruda #MedcomId https://t.co/7OpuqDYUwz;medcom_id
1,82324E+18;Menkominfo Budi Arie Setiadi menegaskan desain dan karya arsitektur istana garuda di IKN menjadi kebanggaan nasional Audrey Nahan Gempa Kenceng Dingin BMKG Waduh Pati Kerasa Airlangga Garuda Manggarai 仙台育英 智弁和歌山 #giants #sbhawks #seibulions #lovefighters #chibalotte https://t.co/bWNeRFvdOx;triajoann
1,82287E+18;Poin-poin Pembelaan Nyoman Nuarta atas Kritik Desain Istana Garuda di IKN https://t.co/fo0PX3NpTa #TempoBisnis;tempodotco
1,8226E+18;@Jayabay19479190 Emang begitulah...lahh wong sila2 pancasila dan bhineka tunggal ika aja nggk ada di garuda IKN nilai2 bangsa di istana negara aja hilang bijimana mau keberagaman pdhl itu warisan pendiri bangsa salah desain atau sengaja dihilangkan;HafiezSayi92933
1,82286E+18;Ia menambahkan desain Istana Garuda IKN dirancang berbeda dan tak memiliki kesamaan agar menunjukkan kewibawaan bukan mengarah kepada aura mistis. https://t.co/uJ9W74WOUr;tempodotco
1,82286E+18;I Nyoman Nuarta tak mempermasalahkan kritik terhadap desain Istana Garuda Ibu Kota Nusantara (IKN) yang dibuatnya. Namun dia berharap agar kritik itu tak dikaitkan dengan isu agama. #tempodotco #tempo #desain #istana #garuda #IKN https://t.co/0ZTfslQcEo;tempodotco
1,82286E+18;Desain Istana Garuda IKN Libatkan 44 Ahli Nyoman Nuarta: Mereka Sangka Segala Macam Saya yang Kerjakan https://t.co/M8vYgJgkZT;50Kuasa
1,82286E+18;Esensi Desain Istana Garuda IKN Satukan 1300 Suku Di Indonesia Nahan minta maaf gak Kamar Ibu Kota Nusantara https://t.co/HzUwzdyZUR;ainihuusna
1,82286E+18;Esensi Desain Istana Garuda IKN Satukan 1300 Suku Di Indonesia Airlangga minta maaf gak Bye PKS Dingin https://t.co/bK24wS50nh;karinachaniaa
1,82286E+18;Esensi Desain Istana Garuda IKN Satukan 1300 Suku Di Indonesia Nahan Dingin Airlangga Bye PKS https://t.co/LFwLAF4xbb;AkifahMazzani
1,82286E+18;Esensi Desain Istana Garuda IKN Satukan 1300 Suku Di Indonesia Nahan Dingin Airlangga Kamar https://t.co/dRjufCwcEd;kesyaasalwaa
1,82286E+18;Esensi Desain Istana Garuda IKN Satukan 1300 Suku Di Indonesia Nahan minta maaf gak Dingin Airlangga https://t.co/9VBnYmqifJ;zakariaoktafia
1,82286E+18;Anggota Komisi V DPR RI dari Fraksi PKS Toriq Hidayat meminta Pemerintah memperhatikan komentar dari masyarakat terkait konstruksi Istana Garuda di IKN yang dinilai tak sesuai dengan desain awal. https://t.co/k64qfgR9mP;PKSejahtera
1,82285E+18;Perancang Istana Garuda Ibu Kota Nusantara (IKN) Nyoman Nuarta membalas berbagai kritikan yang menghujani desain Istana Garuda. Menurutnya kritik harus bersifat membangun. . Selain itu kritik juga tak boleh dikaitkan dengan isu agama. Ia pun menantang balik mereka-mereka yang https://t.co/S5pRPzx39c;pikiran_rakyat
1,82285E+18;Desain Istana Garuda IKN Libatkan 44 Ahli agar Tak Cuma Indah tapi Kuat dan Aman https://t.co/kAXZqUejo0;detikTravel
1,82285E+18;Nyoman Nuarta desainer Istana Garuda di @ikn_id menanggapi kritik yang menyebut desain istana terkesan mistis dan mirip kelelawar. Menurutnya persepsi mistis adalah hal yang subjektif dan dipengaruhi oleh pengalaman pribadi masing-masing individu. (con) https://t.co/omvjGFo7Ga;unexplnd
1,82284E+18;Perancang Istana Garuda Ibu Kota Negara (IKN) Nusantara Nyoman Nuarta mengungkapkan makna desain seperti burung garuda yang tengah memeluk gedung. https://t.co/aER5Zqfze4;detikcom
1,82153E+18;@Yujieitto Selamat Pagi Kami dari CNNIndonesiaTV program Connected pukul 13.00 WIB (https://t.co/ns6OyEQSsE) izin memasukkan cuitan anda di program kami dalam topik: Desain Istana Garuda IKN Jawaban kami tunggu sampai pukul 12.00wib. Terimakasih;CNNIDdaily
1,82153E+18;@faizin___ Selamat Pagi Kami dari CNNIndonesiaTV program Connected pukul 13.00 WIB (https://t.co/ns6OyEQSsE) izin memasukkan cuitan anda di program kami dalam topik: Desain Istana Garuda IKN Jawaban kami tunggu sampai pukul 12.00wib. Terimakasih;CNNIDdaily
1,82261E+18;@AbdulRachimmks Ini Esensi Desain Istana Garuda IKN Menurut Desainernya Nyoman Nuarta https://t.co/260P2SUV3E;AmirHerdiani
1,82283E+18;Desain Istana Garuda IKN libatkan 44 ahli demi keamanan dan ketahanan https://t.co/7dKaz7rQGY;Antara_Jabar
