"""ID""";"""Sentimen""";"""Alasan""";;
1;"""Netral""";"""Desain burung Garuda terlihat biasa saja";" tidak terlalu menarik atau mengecewakan.""";
2;"""Netral""";"""Warna yang digunakan cukup standar";" tidak ada yang terlalu mencolok atau unik.""";
3;"""Netral""";"""Burung Garuda di IKN tampak sesuai dengan ekspektasi masyarakat secara umum.""";;
4;"""Netral""";"""Desain ini tidak memberikan kesan negatif";" tetapi juga tidak mengesankan secara signifikan.""";
5;"""Netral""";"""Detail ornamen pada burung Garuda dapat diterima tetapi tidak menonjol di IKN.""";;
6;"""Netral""";"""Burung Garuda terlihat cukup jelas";" tetapi tidak menarik perhatian yang besar.""";
7;"""Netral""";"""Desain ini tidak terlalu membangkitkan emosi";" hanya terlihat sebagai elemen dekoratif.""";
8;"""Netral""";"""Burung Garuda mencerminkan simbol negara";" tetapi tidak memberikan dampak yang kuat.""";
9;"""Netral""";"""Desain ini tidak membuat masyarakat merasa sangat bangga atau kecewa secara khusus.""";;
10;"""Netral""";"""Kesan umum terhadap desain burung Garuda adalah netral tanpa perasaan yang mendalam.""";;
11;"""Netral""";"""Desain burung Garuda mungkin terlihat baik";" tetapi tidak ada yang luar biasa.""";
12;"""Netral""";"""Burung Garuda tidak terlihat mencolok";" tetapi tidak juga mengganggu pemandangan.""";
13;"""Netral""";"""Desain ini mungkin dianggap biasa oleh sebagian masyarakat tanpa perasaan khusus.""";;
14;"""Netral""";"""Warna dan bentuk burung Garuda cukup familiar bagi masyarakat di sekitarnya.""";;
15;"""Netral""";"""Burung Garuda tampak sebagai elemen arsitektur tanpa memberikan makna yang jelas.""";;
16;"""Netral""";"""Desain ini diakui ada";" tetapi tidak diingat oleh banyak orang yang melihat.""";
17;"""Netral""";"""Burung Garuda dapat diterima sebagai bagian dari estetika IKN secara keseluruhan.""";;
18;"""Netral""";"""Tidak ada sentimen khusus terhadap desain ini";" hanya sebagai informasi umum.""";
19;"""Netral""";"""Burung Garuda menambah elemen desain";" tetapi tidak mengubah suasana secara signifikan.""";
20;"""Netral""";"""Desainnya tidak mengganggu";" tetapi juga tidak memberikan kesan yang mendalam.""";
21;"""Netral""";"""Burung Garuda di IKN tidak menciptakan kontroversi atau pujian yang berlebihan.""";;
22;"""Netral""";"""Desain ini dianggap sebagai tambahan biasa dalam konteks arsitektur IKN.""";;
23;"""Netral""";"""Burung Garuda cukup representatif";" tetapi tidak memberikan dampak yang kuat.""";
24;"""Netral""";"""Desain ini mungkin cocok";" tetapi tidak memberikan reaksi emosional yang kuat.""";
25;"""Netral""";"""Burung Garuda memiliki elemen yang biasa saja tanpa pengaruh signifikan.""";;
26;"""Netral""";"""Desain ini tidak mengecewakan";" tetapi juga tidak memberikan rasa bangga.""";
27;"""Netral""";"""Burung Garuda adalah bagian dari desain IKN";" tetapi tidak menonjol dengan jelas.""";
28;"""Netral""";"""Desain ini diakui oleh masyarakat";" tetapi tidak terlalu diperhatikan secara mendalam.""";
29;"""Netral""";"""Burung Garuda terlihat sebagai simbol tanpa membawa makna yang dalam.""";;
30;"""Netral""";"""Desain ini tidak memicu pertanyaan atau diskusi yang mendalam di masyarakat.""";;
31;"""Netral""";"""Burung Garuda memberikan kesan umum tanpa menjadi pusat perhatian di IKN.""";;
32;"""Netral""";"""Desainnya sederhana dan dapat diterima";" meskipun tidak menarik perhatian.""";
33;"""Netral""";"""Burung Garuda tidak memiliki kelebihan atau kekurangan yang mencolok.""";;
34;"""Netral""";"""Desain ini biasa saja";" tanpa memberikan kesan positif atau negatif yang kuat.""";
35;"""Netral""";"""Burung Garuda tampak netral dan tidak membawa perasaan yang mendalam.""";;
36;"""Netral""";"""Desain ini memenuhi fungsinya";" tetapi tidak meninggalkan kesan yang mendalam.""";
37;"""Netral""";"""Burung Garuda dapat diterima sebagai bagian dari lanskap";" tetapi tidak istimewa.""";
38;"""Netral""";"""Desain ini tidak menciptakan pengalaman yang tak terlupakan bagi pengunjung.""";;
39;"""Netral""";"""Burung Garuda terlihat sebagai simbol umum tanpa makna spesifik yang kuat.""";;
40;"""Netral""";"""Desain ini memiliki unsur seni";" tetapi tidak menjadi sorotan utama.""";
41;"""Netral""";"""Burung Garuda mencerminkan identitas nasional tetapi tidak menggugah emosi.""";;
42;"""Netral""";"""Desain ini dapat dilihat";" tetapi tidak menjadi fokus perhatian masyarakat.""";
43;"""Netral""";"""Burung Garuda memiliki kesan yang netral";" tanpa memberikan dampak emosional.""";
44;"""Netral""";"""Desain ini tidak mengubah pandangan masyarakat tentang burung Garuda.""";;
45;"""Netral""";"""Burung Garuda dapat diterima";" tetapi tidak meninggalkan kesan yang mendalam.""";
46;"""Netral""";"""Desain ini diakui ada";" tetapi tidak menjadi pusat pembicaraan.""";
47;"""Netral""";"""Burung Garuda memenuhi perannya";" tetapi tidak lebih dari itu.""";
48;"""Netral""";"""Desain ini memberikan kesan yang biasa";" tidak terlalu istimewa atau menarik.""";
49;"""Netral""";"""Burung Garuda terlihat seimbang";" tetapi tidak menjadi daya tarik utama.""";
50;"""Netral""";"""Desain ini tidak menonjol dalam ingatan masyarakat";" tetap di bawah radar.""";
51;"""Netral""";"""Burung Garuda merupakan elemen yang diterima";" tetapi tidak diingat secara mendalam.""";
52;"""Netral""";"""Desain ini tidak menciptakan kesan mendalam";" hanya sekadar ada di IKN.""";
53;"""Netral""";"""Burung Garuda memberikan nilai tambah";" tetapi tidak berlebihan.""";
54;"""Netral""";"""Desain ini tidak menimbulkan kontroversi atau perdebatan di masyarakat.""";;
55;"""Netral""";"""Burung Garuda tampak netral"; bisa diterima;" tetapi tidak terlalu dipuji."""
56;"""Netral""";"""Desain ini terlihat seimbang";" tetapi tidak menyentuh emosi orang banyak.""";
57;"""Netral""";"""Burung Garuda tidak mengubah suasana";" hanya sebagai bagian dari keseluruhan.""";
58;"""Netral""";"""Desain ini mungkin diakui";" tetapi tidak menjadi perhatian utama masyarakat.""";
59;"""Netral""";"""Burung Garuda berfungsi dengan baik";" tetapi tidak menciptakan ketertarikan yang lebih.""";
60;"""Netral""";"""Desain ini tidak membuat masyarakat merasa sangat positif atau negatif.""";;
61;"""Netral""";"""Burung Garuda terlihat biasa dan tidak membawa kesan yang mendalam.""";;
62;"""Netral""";"""Desain ini netral";" bisa diterima tetapi tidak mengundang banyak reaksi.""";
63;"""Netral""";"""Burung Garuda tidak menjadi simbol yang kuat bagi masyarakat saat ini.""";;
64;"""Netral""";"""Desain ini memenuhi ekspektasi";" tetapi tidak mengesankan secara mendalam.""";
65;"""Netral""";"""Burung Garuda tidak mengubah suasana secara signifikan";" hanya ada.""";
66;"""Netral""";"""Desain ini tidak meninggalkan kesan yang mendalam di benak masyarakat.""";;
67;"""Netral""";"""Burung Garuda terlihat sebagai bagian dari arsitektur tanpa keistimewaan.""";;
68;"""Netral""";"""Desain ini dianggap biasa";" tanpa makna tambahan yang penting.""";
69;"""Netral""";"""Burung Garuda memberikan nuansa netral";" tidak mengundang pro dan kontra.""";
70;"""Netral""";"""Desain ini tidak memberikan perasaan khusus bagi siapa pun yang melihat.""";;
71;"""Netral""";"""Burung Garuda terlihat dapat diterima";" tetapi tidak ada daya tarik yang kuat.""";
72;"""Netral""";"""Desain ini memenuhi perannya";" tetapi tidak membawa keunikan yang jelas.""";
73;"""Netral""";"""Burung Garuda berfungsi";" tetapi tidak menjadi fokus perhatian masyarakat.""";
74;"""Netral""";"""Desain ini biasa saja";" tidak menciptakan dampak emosional bagi masyarakat.""";
75;"""Netral""";"""Burung Garuda bisa dilihat";" tetapi tidak diingat oleh banyak orang.""";
76;"""Netral""";"""Desain ini tidak cukup menarik untuk menciptakan diskusi di kalangan masyarakat.""";;
77;"""Netral""";"""Burung Garuda tampak sebagai elemen dekoratif tanpa makna yang kuat.""";;
78;"""Netral""";"""Desain ini bisa diterima";" tetapi tidak memberikan kesan yang mendalam.""";
79;"""Netral""";"""Burung Garuda tidak memiliki karakter yang kuat dalam konteks IKN.""";;
80;"""Netral""";"""Desain ini biasa saja";" tanpa membangkitkan perasaan yang mendalam.""";
81;"""Netral""";"""Burung Garuda terlihat seperti simbol umum";" tanpa makna spesifik.""";
82;"""Netral""";"""Desain ini tidak menciptakan kesan mendalam bagi masyarakat yang melihatnya.""";;
83;"""Netral""";"""Burung Garuda tidak menjadi sorotan";" hanya bagian dari keseluruhan.""";
84;"""Netral""";"""Desain ini tampak biasa";" tanpa elemen yang mengesankan.""";
85;"""Netral""";"""Burung Garuda terlihat seimbang";" tetapi tidak menonjol di antara elemen lain.""";
86;"""Netral""";"""Desain ini tidak menciptakan kesan yang mendalam di kalangan masyarakat.""";;
87;"""Netral""";"""Burung Garuda tidak memberikan dampak emosional yang signifikan bagi masyarakat.""";;
88;"""Netral""";"""Desain ini hanya ada di IKN";" tanpa perhatian yang besar.""";
89;"""Netral""";"""Burung Garuda terlihat seperti simbol yang netral tanpa makna yang jelas.""";;
90;"""Netral""";"""Desain ini tidak menciptakan kesan positif atau negatif yang kuat.""";;
91;"""Netral""";"""Burung Garuda tidak menciptakan hubungan emosional dengan masyarakat.""";;
92;"""Netral""";"""Desain ini dianggap ada";" tetapi tidak menciptakan perhatian yang besar.""";
93;"""Netral""";"""Burung Garuda memenuhi ekspektasi";" tetapi tidak mengesankan secara khusus.""";
94;"""Netral""";"""Desain ini tidak menggugah rasa bangga atau kekhawatiran masyarakat.""";;
95;"""Netral""";"""Burung Garuda terlihat biasa";" tetapi diterima sebagai bagian dari desain.""";
96;"""Netral""";"""Desain ini tidak menciptakan kesan mendalam atau perdebatan di masyarakat.""";;
97;"""Netral""";"""Burung Garuda hanya ada di IKN";" tanpa dampak yang besar.""";
98;"""Netral""";"""Desain ini tidak menjadi topik hangat di kalangan masyarakat.""";;
99;"""Netral""";"""Burung Garuda tidak membawa makna yang kuat dalam konteks budaya.""";;
100;"""Netral""";"""Desain ini netral";" tidak menciptakan reaksi emosional yang berarti.""";
